.START
..refdes	device	value	tolerance	comment	footprint	quantity
C1	CAPACITOR	unknown	unknown	unknown	0805	1
C10	POLARIZED_CAPACITOR	unknown	unknown	unknown	M 7343	1
C11	CAPACITOR	unknown	unknown	unknown	0805	1
C12	CAPACITOR	unknown	unknown	unknown	0805	1
C13	CAPACITOR	unknown	unknown	unknown	0805	1
C14	CAPACITOR	unknown	unknown	unknown	0805	1
C15	CAPACITOR	unknown	unknown	unknown	0805	1
C16	CAPACITOR	unknown	unknown	unknown	0805	1
C17	CAPACITOR	unknown	unknown	unknown	0805	1
C18	CAPACITOR	unknown	unknown	unknown	0805	1
C19	CAPACITOR	unknown	unknown	unknown	0805	1
C2	CAPACITOR	unknown	unknown	unknown	0805	1
C3	CAPACITOR	unknown	unknown	unknown	0805	1
C4	CAPACITOR	unknown	unknown	unknown	0805	1
C5	CAPACITOR	unknown	unknown	unknown	0805	1
C6	POLARIZED_CAPACITOR	unknown	unknown	unknown	M7343	1
C7	CAPACITOR	unknown	unknown	unknown	0805	1
C8	POLARIZED_CAPACITOR	unknown	unknown	unknown	M7343	1
C9	CAPACITOR	unknown	unknown	unknown	0805	1
CONN1	CONNECTOR_4	unknown	/	unknown	SIP4N	1
CONN3	CONNECTOR_4	unknown	/	unknown	SIP4N	1
CONN4	CONNECTOR_6	unknown	/	unknown	SIP6N	1
CONN5	CONNECTOR_3	unknown	/	unknown	SIP3N	1
CONN6	CONNECTOR_5	unknown	/	unknown	SIP5N	1
D1	DIODE	unknown	/	unknown	SOT23	1
D2	DIODE	BAT54 /,C or S	/	unknown	SOT23	1
D3	DIODE	BAT54 /,C or S	/	Return diode if U2 implemented	SOT23	1
Q1	unknown	unknown	/	unknown	SOIC14	1
Q10	BC846	unknown	/	Input stage offset comp circuit	SOT23	1
Q2	unknown	unknown	/	unknown	unknown	1
Q3	unknown	unknown	/	unknown	unknown	1
Q4	unknown	unknown	/	unknown	unknown	1
Q5	unknown	unknown	/	unknown	unknown	1
Q6	unknown	unknown	/	unknown	unknown	1
Q7	2SC6096	unknown	/	unknown	SOT89-3	1
Q8	2SA2124	unknown	/	unknown	SOT89-3	1
Q9	MMBT3904	unknown	/	Output VBE multiplier	SOT23	1
R1	RESISTOR	47	unknown	unknown	1206	1
R10	RESISTOR	12.7K	2%	R/2 polarisation current	1006	1
R11	RESISTOR	unknown	/	D1 polarisation	1206	1
R12	RESISTOR	unknown	/	D1 polarisation	1206	1
R13	RESISTOR	unknown	10%	Reduces Q5 dissipation	1206	1
R14	RESISTOR	unknown	10%	Reduces Q6 dissipation	1206	1
R15	RESISTOR	unknown	2%	Input impedance	1206	1
R16	RESISTOR	unknown	2%	Input impedance	1206	1
R17	RESISTOR	unknown	unknown	unknown	1206	1
R18	RESISTOR	unknown	unknown	unknown	1206	1
R19	RESISTOR	470K	10%	Avoid input stage floating too much	1206	1
R2	RESISTOR	47	unknown	unknown	1206	1
R20	RESISTOR	470K	10%	Avoid input stage floating too much	1206	1
R21	RESISTOR	0	20%	Config B	0805	1
R22	RESISTOR	0	20%	Config B	0805	1
R23	RESISTOR	0	20%	Config B	0805	1
R24	RESISTOR	0	20%	Config B	0805	1
R25	RESISTOR	unknown	10%	Reduces Q1 dissipation	0805	1
R26	RESISTOR	unknown	10%	Config A Raduces Q2 dissipation	0805	1
R27	RESISTOR	unknown	10%	Reduces Q1 dissipation	0805	1
R28	RESISTOR	unknown	10%	Config A Reduces Q2 dissipation	0805	1
